"Facility Name","Facility ID","State","Fiscal Year","PSI 90 Start Date","PSI 90 End Date","PSI 90 W Z Score","PSI 90 Footnote","CLABSI W Z Score","CLABSI Footnote","CAUTI W Z Score","CAUTI Footnote","SSI W Z Score","SSI Footnote","MRSA W Z Score","MRSA Footnote","CDI W Z Score","CDI Footnote","HAI Measures Start Date","HAI Measures End Date","Total HAC Score","Total HAC Footnote","Payment Reduction","Payment Reduction Footnote"
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,2022,07/01/2018,12/31/2019,-1.3379,,0.1695,,-0.7654,,-0.5757,,-0.4193,,-0.0120,,01/01/2019,12/31/2019,-0.4901,,No,
MARSHALL MEDICAL CENTERS,010005,AL,2022,07/01/2018,12/31/2019,1.6595,,-1.2914,,0.7408,,-0.5926,,2.0736,,0.0740,,01/01/2019,12/31/2019,0.4440,,Yes,
NORTH ALABAMA MEDICAL CENTER,010006,AL,2022,07/01/2018,12/31/2019,1.6028,,-1.2914,,-0.9705,,-0.2322,,-0.2292,,-0.3530,,01/01/2019,12/31/2019,-0.2456,,No,
MIZELL MEMORIAL HOSPITAL,010007,AL,2022,07/01/2018,12/31/2019,-0.3472,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-1.0043,,No,
CRENSHAW COMMUNITY HOSPITAL,010008,AL,2022,07/01/2018,12/31/2019,0.0445,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0445,,No,
ST. VINCENT'S EAST,010011,AL,2022,07/01/2018,12/31/2019,0.5174,,-0.4625,,-0.2144,,0.3669,,0.3268,,-0.6079,,01/01/2019,12/31/2019,-0.0123,,No,
DEKALB REGIONAL MEDICAL CENTER,010012,AL,2022,07/01/2018,12/31/2019,-0.6772,,N/A,5,-1.4169,,N/A,5,N/A,5,-1.0656,,01/01/2019,12/31/2019,-1.0533,,No,
SHELBY BAPTIST MEDICAL CENTER,010016,AL,2022,07/01/2018,12/31/2019,0.6454,,-0.9330,,-0.6990,,-1.3575,,-0.7977,,-0.1718,,01/01/2019,12/31/2019,-0.5523,,No,
CALLAHAN EYE HOSPITAL,010018,AL,2022,07/01/2018,12/31/2019,0.0482,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0482,,No,
HELEN KELLER HOSPITAL,010019,AL,2022,07/01/2018,12/31/2019,-0.5307,,2.2860,,-0.8378,,-1.3575,,0.8935,,0.2183,,01/01/2019,12/31/2019,0.1120,,No,
DALE MEDICAL CENTER,010021,AL,2022,07/01/2018,12/31/2019,1.8450,,N/A,5,N/A,5,N/A,5,N/A,5,-0.2885,,01/01/2019,12/31/2019,0.7782,,Yes,
