facility_id,facility_name,full_address,location,point,latitude,longitude,altitude
010001,SOUTHEAST HEALTH MEDICAL CENTER,"1108 ROSS CLARK CIRCLE DOTHAN,AL 36301","Southeast Health Medical Center, East Main Street, 36302, East Main Street, Alabama, United States","(31.2162886, -85.36330002670334, 0.0)",31.2162886,-85.36330002670334,0.0
010005,MARSHALL MEDICAL CENTERS,"2505 U S HIGHWAY 431 NORTH BOAZ,AL 35957","Centers for Medicare & Medicaid Services, Woodlawn, Maryland, United States","(39.31812535, -76.76424986214745, 0.0)",39.31812535,-76.76424986214745,0.0
010006,NORTH ALABAMA MEDICAL CENTER,"1701 VETERANS DRIVE FLORENCE,AL 35630","North Alabama Medical Center Heliport, Central Avenue, 35630, Central Avenue, Florence, Alabama, United States","(34.80512505, -87.6528419313992, 0.0)",34.80512505,-87.6528419313992,0.0
010007,MIZELL MEMORIAL HOSPITAL,"702 N MAIN ST OPP,AL 36467","Babu memorial hospital, Babu memorial hospital, athikayam, 689711, athikayam, ranni, Kerala, India","(9.3882289, 76.8451317, 0.0)",9.3882289,76.8451317,0.0
010008,CRENSHAW COMMUNITY HOSPITAL,"101 HOSPITAL CIRCLE LUVERNE,AL 36049","View Park Community Hospital, Coliseum Street, 90016, Coliseum Street, Los Angeles, California, United States","(34.0189666, -118.35434482568647, 0.0)",34.0189666,-118.35434482568647,0.0
010011,ST. VINCENT'S EAST,"50 MEDICAL PARK EAST DRIVE BIRMINGHAM,AL 35235","East Vincent Township, 19475, Pennsylvania, United States","(40.173809000000006, -75.57869524085072, 0.0)",40.173809000000006,-75.57869524085072,0.0
010012,DEKALB REGIONAL MEDICAL CENTER,"200 MED CENTER DRIVE FORT PAYNE,AL 35968","Dekalb Regional Medical Center Heliport, Medical Center Drive Southwest, 35968, Medical Center Drive Southwest, Fort Payne, AL, United States","(34.442092650000006, -85.75577295, 0.0)",34.442092650000006,-85.75577295,0.0
010016,SHELBY BAPTIST MEDICAL CENTER,"1000 FIRST STREET NORTH ALABASTER,AL 35007","Shelby Baptist Medical Center, 7th Avenue Northeast, 35007, 7th Avenue Northeast, Alabaster, Alabama, United States","(33.251846900000004, -86.8117484245976, 0.0)",33.251846900000004,-86.8117484245976,0.0
010018,CALLAHAN EYE HOSPITAL,"1720 UNIVERSITY BLVD, SUITE 500 BIRMINGHAM,AL 35233","UAB Callahan Eye Hospital, University Boulevard, 35233, University Boulevard, Birmingham, AL, United States","(33.503745800000004, -86.80271944518253, 0.0)",33.503745800000004,-86.80271944518253,0.0
010019,HELEN KELLER HOSPITAL,"1300 SOUTH MONTGOMERY AVENUE SHEFFIELD,AL 35660","Bryce Hospital, Helen Keller Boulevard, 35401, Helen Keller Boulevard, Tuscaloosa, Alabama, United States","(33.2076072, -87.5156078837143, 0.0)",33.2076072,-87.5156078837143,0.0
010021,DALE MEDICAL CENTER,"126 HOSPITAL AVE OZARK,AL 36360","Dale Medical Center Heliport, Edna Drive, 36360, Edna Drive, Ozark, Alabama, United States","(31.4509249, -85.63223602507355, 0.0)",31.4509249,-85.63223602507355,0.0
010022,CHEROKEE MEDICAL CENTER,"400 NORTHWOOD DR CENTRE,AL 35960","Medical Center Drive, 29342, South Carolina, United States","(35.088501, -81.634618, 0.0)",35.088501,-81.634618,0.0
