OBJECTID,FIPS_code,County,State_Abbreviation,FEMA_region,Cases_last_7_days,Cases_per_100k_last_7_days,Deaths_last_7_days,Deaths_per_100k_last_7_days,Cases_percent_change,Deaths_percent_change,Cumulative_cases,Cumulative_deaths,test_positivity_rate_last_7_d,total_tests_last_7_d,total_tests_per_100k_last_7_d,test_positivity_rate_pct_ch,total_tests_pct_change,conf_covid_admit_last_7_d,conf_covid_admit_100k_last_7,susp_covid_admit_last_7_d,susp_covid_admit_100k_last_7,pct_inpatient,pct_inpatient_covid,pct_staffed_icu,pct_icu_covid,pct_vent_used,pct_vent_covid,conf_covid_admit_100k_pct_in,susp_covid_admit_100k_pct_in,pct_inpatient_abs_change,pct_inpatient_covid_abs_ch,pct_staffed_icu_abs_change,pct_icu_covid_abs_change,pct_vent_abs_change,pct_vent_covid_abs_change,Shape__Area,Shape__Length,last_updated,pct_fully_vacc_total_pop,pct_fully_vacc_65_and_older
1,15007,"Kauai County, HI",HI,9,524,725,3,4,-23,200,11125,26,14.9,1723,2383,-5.1,-14,8,7,7,6,64,5,75,7,0,0,60,40,0,-6,-1,-9,0,0,1897992328.9375,339276.118825324,2022/02/18 14:45:00+00,0,0
2,15003,"Honolulu County, HI",HI,9,2428,249,25,3,-40,-19,161589,935,6.6,25391,2605,-4.4,-15,153,9,87,5,77,8,64,12,0,0,3,-3,1,-2,-3,-5,0,0,1813624844.625,487019.877740757,2022/02/18 14:45:00+00,0,0
3,15001,"Hawaii County, HI",HI,9,568,282,10,5,-42,150,25237,178,9.2,4168,2068,-3.8,-24,16,5,2,1,85,8,65,7,0,0,-31,-73,0,-1,-5,-6,0,0,11816727943.4531,643473.454557969,2022/02/18 14:45:00+00,0,0
4,15005,"Kalawao County, HI",HI,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36005820.7890625,58632.5301084977,2022/02/18 14:45:00+00,0,0
5,15009,"Maui County, HI",HI,9,498,297,3,2,-36,-50,29041,123,8.9,4196,2506,-3.3,-13,16,7,9,4,89,9,100,5,0,0,-41,196,1,-5,0,-2,0,0,3457076475.92578,728760.261486218,2022/02/18 14:45:00+00,0,0
6,02013,"Aleutians East Borough, AK",AK,10,15,450,0,0,-74,0,1015,3,0,21,629,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56294569723.6016,7964216.3281353,2022/02/18 14:45:00+00,74.4,48.7
7,02050,"Bethel Census Area, AK",AK,10,109,593,1,5,-69,0,8747,38,0,123,669,0,-80,2,6,0,0,45,9,0,0,0,0,-50,0,-5,-5,0,0,0,0,455971534363.172,9245442.68471066,2022/02/18 14:45:00+00,65.1,85.2
8,02158,"Kusilvak Census Area, AK",AK,10,72,866,0,0,-47,0,3551,9,0,42,505,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212569526365.688,5350737.89896655,2022/02/18 14:45:00+00,65.2,91.5
9,02070,"Dillingham Census Area, AK",AK,10,46,936,0,0,-55,0,1495,11,0,94,1912,0,-74,0,0,0,0,22,0,0,0,0,0,0,0,2,0,0,0,0,0,196335093787.594,3417955.25864274,2022/02/18 14:45:00+00,51.3,74.7
10,02180,"Nome Census Area, AK",AK,10,0,0,0,0,-100,0,4348,3,0,751,7507,0,-78,0,0,0,0,81,5,0,0,0,0,-100,0,27,4,0,0,0,0,331082421702.563,11218521.5147995,2022/02/18 14:45:00+00,69.5,90.4
11,02188,"Northwest Arctic Borough, AK",AK,10,219,2874,0,0,-21,0,3911,12,0,360,4724,0,-74,3,18,0,0,51,26,0,0,0,0,-57,-100,16,15,0,0,0,0,618726034720.5,7791328.3337009,2022/02/18 14:45:00+00,58.9,89
12,02060,"Bristol Bay Borough, AK",AK,10,0,0,0,0,0,0,0,0,0,21,2512,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5123577584.20313,321896.934325449,2022/02/18 14:45:00+00,95,87.5
13,02164,"Lake and Peninsula Borough, AK",AK,10,6,377,0,0,-79,0,785,1,0,13,817,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250188987768.383,6385141.34142496,2022/02/18 14:45:00+00,56.5,74.9
14,02150,"Kodiak Island Borough, AK",AK,10,80,615,0,0,-58,0,4691,10,0,241,1854,0,-67,0,0,0,0,32,0,42,0,0,0,-100,0,-6,-1,21,-7,0,0,59876396187.625,9559576.18002139,2022/02/18 14:45:00+00,64,93
15,02122,"Kenai Peninsula Borough, AK",AK,10,378,644,1,2,-45,0,16552,96,0,1217,2073,0,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171706364721.492,7736211.70814682,2022/02/18 14:45:00+00,47.4,75.9
16,02170,"Matanuska-Susitna Borough, AK",AK,10,472,436,6,6,-57,-14,33293,218,0,1107,1022,0,-74,11,7,2,1,54,6,78,16,0,0,-45,100,-3,-5,-6,-5,0,0,298680549638.938,2652026.40285103,2022/02/18 14:45:00+00,39.8,69.1
17,02020,"Anchorage Municipality, AK",AK,10,1651,573,12,4,-47,33,99124,493,0,5842,2028,0,-66,42,6,11,1,89,8,91,14,0,0,-6,-21,-1,-2,2,-1,0,0,19213378078.5938,740032.167052636,2022/02/18 14:45:00+00,66,92.6
18,02185,"North Slope Borough, AK",AK,10,116,1180,0,0,-55,0,4171,10,0,236,2400,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1851484283102.5,16632980.424319,2022/02/18 14:45:00+00,38.1,59.9
19,02068,"Denali Borough, AK",AK,10,10,477,0,0,-16,0,381,1,0,6,286,0,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167668088188.953,2080345.2309478,2022/02/18 14:45:00+00,53.6,79.8
20,02290,"Yukon-Koyukuk Census Area, AK",AK,10,21,402,0,0,-80,0,1281,8,0,29,554,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2228562201713.78,9479186.43665994,2022/02/18 14:45:00+00,75.7,92.8
21,02195,"Petersburg Borough, AK",AK,10,23,704,0,0,-14,0,676,3,0,57,1745,0,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28354305281.9453,4585493.26188299,2022/02/18 14:45:00+00,75,92.8
22,02198,"Prince of Wales-Hyder Census Area, AK",AK,10,102,1644,0,0,-8,0,1296,6,0,71,1145,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30921730674.75,7846862.88288592,2022/02/18 14:45:00+00,52.7,70.7
23,02275,"Wrangell City and Borough, AK",AK,10,10,400,0,0,25,0,453,1,0,30,1199,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21562480547.7578,3187261.61973029,2022/02/18 14:45:00+00,57.4,68.6
24,02130,"Ketchikan Gateway Borough, AK",AK,10,67,482,1,7,-68,0,3705,20,0,200,1439,0,-76,2,12,0,0,86,8,100,25,0,0,0,0,37,8,0,18,0,0,39113187047.5391,5200074.73231147,2022/02/18 14:45:00+00,64.2,86
25,02261,"Valdez-Cordova Census Area, AK",AK,10,116,1261,0,0,90,0,2705,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397681059441.563,12658001.1875445,2022/02/18 14:45:00+00,62.1,81.7
26,02282,"Yakutat City and Borough, AK",AK,10,0,0,0,0,0,0,0,0,0,2,345,0,-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80152551360.1875,3680053.95152628,2022/02/18 14:45:00+00,78.1,88.5
27,02090,"Fairbanks North Star Borough, AK",AK,10,347,358,2,2,-67,0,26595,126,0,508,525,0,-83,8,8,3,3,76,6,67,1,0,0,-52,-25,1,-2,-2,-2,0,0,105851255391.969,1850582.44435321,2022/02/18 14:45:00+00,58.9,78.5
28,02240,"Southeast Fairbanks Census Area, AK",AK,10,40,580,0,0,-67,0,1954,16,0,34,493,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333783772963.906,3537258.71183431,2022/02/18 14:45:00+00,40,67.5
29,02220,"Sitka City and Borough, AK",AK,10,44,518,0,0,-54,0,2169,6,0,260,3061,0,-58,1,4,0,0,49,4,0,0,0,0,0,0,4,4,-14,0,0,0,25750681029.7969,4843512.05533624,2022/02/18 14:45:00+00,77.6,92
30,02105,"Hoonah-Angoon Census Area, AK",AK,10,6,279,0,0,-70,0,470,5,0,43,2002,0,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69706975773.7109,8884518.83952577,2022/02/18 14:45:00+00,69.2,80.6
31,02100,"Haines Borough, AK",AK,10,49,1937,0,0,145,0,513,1,0,20,791,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23209404377.3203,1833871.91659099,2022/02/18 14:45:00+00,67,85.8
32,02110,"Juneau City and Borough, AK",AK,10,132,413,0,0,-53,0,7657,18,0,740,2314,0,-60,5,9,0,0,74,6,49,4,0,0,150,0,2,5,19,0,0,0,26059456171.4922,1802332.14742512,2022/02/18 14:45:00+00,75.8,95
