"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-HIP-KNEE-HRRP,165,,1.2312,5.5952,4.5446,13,07/01/2017,12/01/2019
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-CABG-HRRP,193,,1.0797,12.6285,11.6966,26,07/01/2017,12/01/2019
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-AMI-HRRP,424,,1.0301,15.8637,15.4001,69,07/01/2017,12/01/2019
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-HF-HRRP,905,,1.0399,23.0257,22.1413,211,07/01/2017,12/01/2019
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-COPD-HRRP,310,,1.0616,20.2278,19.0535,68,07/01/2017,12/01/2019
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-PN-HRRP,504,,0.9655,16.7700,17.3685,82,07/01/2017,12/01/2019
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-COPD-HRRP,378,,0.9254,16.5585,17.8926,56,07/01/2017,12/01/2019
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-AMI-HRRP,N/A,,0.9548,15.9301,16.6839,Too Few to Report,07/01/2017,12/01/2019
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-HF-HRRP,223,,1.0461,21.1149,20.1846,50,07/01/2017,12/01/2019
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-PN-HRRP,468,,0.9657,15.0488,15.5833,68,07/01/2017,12/01/2019
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9779,4.4054,4.5052,Too Few to Report,07/01/2017,12/01/2019
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-CABG-HRRP,120,,1.1063,13.1992,11.9304,18,07/01/2017,12/01/2019
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-AMI-HRRP,363,,0.9614,13.2883,13.8219,46,07/01/2017,12/01/2019
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-HIP-KNEE-HRRP,306,,1.2138,4.7501,3.9135,18,07/01/2017,12/01/2019
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-PN-HRRP,663,,1.1136,17.6938,15.8889,125,07/01/2017,12/01/2019
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-COPD-HRRP,381,,0.9316,16.8183,18.0527,58,07/01/2017,12/01/2019
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-HF-HRRP,615,,0.8945,18.7277,20.9371,108,07/01/2017,12/01/2019
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-PN-HRRP,147,,1.0244,14.5171,14.1711,23,07/01/2017,12/01/2019
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-HF-HRRP,70,,1.0595,20.4042,19.2576,18,07/01/2017,12/01/2019
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-COPD-HRRP,103,,1.0106,18.5305,18.3367,20,07/01/2017,12/01/2019
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-PN-HRRP,N/A,,0.9742,14.5736,14.9597,Too Few to Report,07/01/2017,12/01/2019
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-COPD-HRRP,N/A,,0.9878,16.1897,16.3903,Too Few to Report,07/01/2017,12/01/2019
ST. VINCENT'S EAST,010011,AL,READM-30-AMI-HRRP,126,,1.0996,14.7277,13.3937,24,07/01/2017,12/01/2019
ST. VINCENT'S EAST,010011,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0568,4.6882,4.4363,Too Few to Report,07/01/2017,12/01/2019
ST. VINCENT'S EAST,010011,AL,READM-30-PN-HRRP,350,,0.9809,16.3934,16.7131,56,07/01/2017,12/01/2019
ST. VINCENT'S EAST,010011,AL,READM-30-COPD-HRRP,167,,0.9879,18.6047,18.8326,30,07/01/2017,12/01/2019
ST. VINCENT'S EAST,010011,AL,READM-30-HF-HRRP,351,,1.0060,21.2552,21.1277,75,07/01/2017,12/01/2019
ST. VINCENT'S EAST,010011,AL,READM-30-CABG-HRRP,64,,1.2271,16.3463,13.3206,15,07/01/2017,12/01/2019
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-PN-HRRP,301,,0.9665,14.0665,14.5539,40,07/01/2017,12/01/2019
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-COPD-HRRP,108,,1.0173,16.2601,15.9836,19,07/01/2017,12/01/2019
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9475,3.2643,3.4453,Too Few to Report,07/01/2017,12/01/2019
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-AMI-HRRP,68,,1.0325,13.5075,13.0826,11,07/01/2017,12/01/2019
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-HF-HRRP,141,,1.0420,20.1124,19.3013,31,07/01/2017,12/01/2019
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-CABG-HRRP,N/A,,0.9108,10.0383,11.0209,Too Few to Report,07/01/2017,12/01/2019
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0282,4.1090,3.9964,Too Few to Report,07/01/2017,12/01/2019
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-COPD-HRRP,143,,1.0053,19.2532,19.1512,28,07/01/2017,12/01/2019
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-AMI-HRRP,129,,0.9191,13.8420,15.0602,13,07/01/2017,12/01/2019
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-PN-HRRP,291,,1.0137,16.1657,15.9472,48,07/01/2017,12/01/2019
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-HF-HRRP,241,,0.9800,22.1365,22.5873,52,07/01/2017,12/01/2019
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
